aesthetic|concerning the appreciation of beauty or taste.|/iːs.ˈθe.tɪk/|Her most recent works have this quirky, half-serious 90's teen culture-inspired aesthetic.|aesthetical, esthetic
acquiesce|accept something reluctantly but without protest.|/ˌækwiˈɛs/|No sample sentence available.|accept, go along with
apprehensive|anxious or fearful that something bad or unpleasant will happen.|/apprehensive/|No sample sentence available.|quick on the uptake
arbitrary|based on random choice or personal whim, rather than any reason or system.|/arbitrary/|No sample sentence available.|
assiduous|showing great care and perseverance.|/əˈsɪdjuːəs/|No sample sentence available.|diligent, meticulous
capricious|given to sudden and unaccountable changes of mood or behavior.|/kəˈpɹɪʃəs/|I almost died in a capricious winter storm.|arbitrary, whimsical
comprise|consist of; be made up of.|/kəmˈpɹaɪz/|The parts are comprised by the whole.|form, make up
conducive|making a certain situation or outcome likely or possible.|/kənˈdjuːsɪv/|A small, dark kitchen is not conducive to elaborate cooking.|favorable, helpful
discrepancy|an illogical lack of compatibility or similarity between two or more facts.|/dɪsˈkɹɛpənsi/|They found a discrepancy between the first set of test results and the second, and they're still trying to figure out why.|anomalous, discordance
elicit|evoke or draw out (a reaction, answer, or fact) from someone.|/ɪˈlɪsɪt/|Did you elicit a response?|construe, deduce
eminent|famous and respected within a particular sphere.|/ˈɛmɪnənt/|His eminent good sense has been a godsend to this project.|distinguished, noteworthy
imminent|about to happen shortly.|/ˈɪmɪnənt/|No sample sentence available.|immediate, impending
infrastructure|the basic physical and organizational structures needed for the operation of a society or enterprise.|/ˈɪnfɹəˌstɹʌk(t)ʃɚ/|The parasitic tyranny's infrastructure depends on secrecy in order to be effective.|underbuilding
inherent|existing in something as a permanent, essential, or characteristic attribute.|/ɪnˈhɛɹənt/|No sample sentence available.|inbuilt, ingrained
mitigate|make less severe, serious, or painful.|/ˈmɪt.ɪ.ɡeɪt/|No sample sentence available.|alleviate, check
obsolete|no longer produced or used; out of date.|/ˈɒbsəliːt/|It is speculated that, within a few years, the Internet's speedy delivery of news worldwide will make newspapers obsolete.|abortive, obscure
